# step, loss function, Y0, running time
5.000000000000000000e+01,3.098660888671875000e+02,4.683455657958984375e+01,5.974295377731323242e+00
1.000000000000000000e+02,4.143642883300781250e+02,5.599085617065429688e+01,7.019682645797729492e+00
1.500000000000000000e+02,2.430566253662109375e+02,6.473310852050781250e+01,8.090592145919799805e+00
2.000000000000000000e+02,8.981420898437500000e+01,7.039437866210937500e+01,9.132476329803466797e+00
2.500000000000000000e+02,1.154516372680664062e+02,7.337081909179687500e+01,1.019137525558471680e+01
3.000000000000000000e+02,9.451091766357421875e+01,7.501007843017578125e+01,1.123175835609436035e+01
3.500000000000000000e+02,8.296031188964843750e+01,7.619247436523437500e+01,1.227464389801025391e+01
4.000000000000000000e+02,7.575895690917968750e+01,7.682046508789062500e+01,1.331302523612976074e+01
4.500000000000000000e+02,1.214860382080078125e+02,7.723737335205078125e+01,1.435491013526916504e+01
5.000000000000000000e+02,7.837290954589843750e+01,7.730692291259765625e+01,1.540079784393310547e+01
5.500000000000000000e+02,6.546537017822265625e+01,7.715069580078125000e+01,1.645519280433654785e+01
6.000000000000000000e+02,6.743640899658203125e+01,7.718072509765625000e+01,1.749907898902893066e+01
6.500000000000000000e+02,6.376809692382812500e+01,7.720686340332031250e+01,1.854696869850158691e+01
7.000000000000000000e+02,8.091748046875000000e+01,7.659436035156250000e+01,1.962238168716430664e+01
7.500000000000000000e+02,7.430879974365234375e+01,7.784580230712890625e+01,2.071380829811096191e+01
8.000000000000000000e+02,8.096155548095703125e+01,7.766929626464843750e+01,2.179172325134277344e+01
8.500000000000000000e+02,9.504362487792968750e+01,7.771733856201171875e+01,2.284311604499816895e+01
9.000000000000000000e+02,8.821665954589843750e+01,7.762154388427734375e+01,2.388149738311767578e+01
9.500000000000000000e+02,2.512523040771484375e+02,7.886409759521484375e+01,2.494089674949645996e+01
1.000000000000000000e+03,3.312667541503906250e+02,7.860276794433593750e+01,2.603682708740234375e+01
1.050000000000000000e+03,2.468932495117187500e+02,7.782147979736328125e+01,2.708671879768371582e+01
1.100000000000000000e+03,2.596913146972656250e+02,7.832675933837890625e+01,2.813310670852661133e+01
1.150000000000000000e+03,1.747258758544921875e+02,7.801099395751953125e+01,2.917449069023132324e+01
1.200000000000000000e+03,1.887985534667968750e+02,7.786174774169921875e+01,3.021187162399291992e+01
1.250000000000000000e+03,1.767431182861328125e+02,7.789360046386718750e+01,3.124474883079528809e+01
1.300000000000000000e+03,2.244097595214843750e+02,7.815093994140625000e+01,3.228012728691101074e+01
1.350000000000000000e+03,1.212675170898437500e+02,7.765686035156250000e+01,3.331950950622558594e+01
1.400000000000000000e+03,1.771153259277343750e+02,7.808204650878906250e+01,3.435288715362548828e+01
1.450000000000000000e+03,9.632874298095703125e+01,7.774095153808593750e+01,3.538776516914367676e+01
1.500000000000000000e+03,1.225748519897460938e+02,7.748366546630859375e+01,3.642764854431152344e+01
1.550000000000000000e+03,1.218968734741210938e+02,7.730194091796875000e+01,3.747003340721130371e+01
1.600000000000000000e+03,2.461680145263671875e+02,7.760381317138671875e+01,3.851191782951354980e+01
1.650000000000000000e+03,2.339542999267578125e+02,7.722212982177734375e+01,3.954629635810852051e+01
1.700000000000000000e+03,1.879046936035156250e+02,7.900919342041015625e+01,4.058517789840698242e+01
1.750000000000000000e+03,2.458687438964843750e+02,7.836590576171875000e+01,4.162305951118469238e+01
1.800000000000000000e+03,2.098153839111328125e+02,7.763268280029296875e+01,4.265643620491027832e+01
1.850000000000000000e+03,1.820692138671875000e+02,7.772451019287109375e+01,4.370632767677307129e+01
1.900000000000000000e+03,2.081381683349609375e+02,7.735869598388671875e+01,4.476923012733459473e+01
1.950000000000000000e+03,1.402631683349609375e+02,7.767656707763671875e+01,4.581011366844177246e+01
2.000000000000000000e+03,2.075486755371093750e+02,7.819861602783203125e+01,4.687351608276367188e+01
2.050000000000000000e+03,1.489938964843750000e+02,7.786100769042968750e+01,4.793191504478454590e+01
2.100000000000000000e+03,1.056298904418945312e+02,7.756421661376953125e+01,4.901483440399169922e+01
2.150000000000000000e+03,1.759932403564453125e+02,7.843685150146484375e+01,5.010776257514953613e+01
2.200000000000000000e+03,1.340500335693359375e+02,7.806164550781250000e+01,5.116165685653686523e+01
2.250000000000000000e+03,1.566519165039062500e+02,7.840871429443359375e+01,5.225458455085754395e+01
2.300000000000000000e+03,2.528547058105468750e+02,7.914446258544921875e+01,5.335351800918579102e+01
2.350000000000000000e+03,2.518976593017578125e+02,7.782227325439453125e+01,5.442042374610900879e+01
2.400000000000000000e+03,1.967360382080078125e+02,7.749878692626953125e+01,5.547481894493103027e+01
2.450000000000000000e+03,2.158006591796875000e+02,7.765434265136718750e+01,5.652721214294433594e+01
2.500000000000000000e+03,2.193080596923828125e+02,7.831089782714843750e+01,5.757310009002685547e+01
2.550000000000000000e+03,1.979794883728027344e+01,7.732398223876953125e+01,5.862699460983276367e+01
2.600000000000000000e+03,1.404497146606445312e+01,7.747729492187500000e+01,5.969239926338195801e+01
2.650000000000000000e+03,1.526753807067871094e+01,7.743027496337890625e+01,6.074829554557800293e+01
2.700000000000000000e+03,1.426705074310302734e+01,7.750111389160156250e+01,6.182120656967163086e+01
2.750000000000000000e+03,1.490255832672119141e+01,7.744915771484375000e+01,6.287460088729858398e+01
2.800000000000000000e+03,1.769367980957031250e+01,7.752248382568359375e+01,6.392699432373046875e+01
2.850000000000000000e+03,2.906142616271972656e+01,7.722875976562500000e+01,6.497789716720581055e+01
2.900000000000000000e+03,1.122367191314697266e+01,7.734544372558593750e+01,6.604830574989318848e+01
2.950000000000000000e+03,9.839536666870117188e+00,7.744485473632812500e+01,6.710119938850402832e+01
3.000000000000000000e+03,1.498884296417236328e+01,7.723848724365234375e+01,6.815809702873229980e+01
3.050000000000000000e+03,1.189534187316894531e+01,7.753428649902343750e+01,6.920648717880249023e+01
3.100000000000000000e+03,9.043137550354003906e+00,7.742081451416015625e+01,7.027989792823791504e+01
3.150000000000000000e+03,7.407858848571777344e+00,7.733523559570312500e+01,7.136882281303405762e+01
3.200000000000000000e+03,9.288005828857421875e+00,7.734183502197265625e+01,7.242972326278686523e+01
3.250000000000000000e+03,5.955773544311523438e+01,7.759118652343750000e+01,7.350413513183593750e+01
3.300000000000000000e+03,1.495196380615234375e+02,7.844040679931640625e+01,7.456103229522705078e+01
3.350000000000000000e+03,2.370530395507812500e+02,7.838609313964843750e+01,7.561292552947998047e+01
3.400000000000000000e+03,3.502511291503906250e+02,7.761735534667968750e+01,7.666682004928588867e+01
3.450000000000000000e+03,4.448948364257812500e+02,8.398946380615234375e+01,7.772621989250183105e+01
3.500000000000000000e+03,8.264545898437500000e+02,7.966564178466796875e+01,7.877661061286926270e+01
3.550000000000000000e+03,9.373972778320312500e+02,7.704492187500000000e+01,7.983500957489013672e+01
3.600000000000000000e+03,8.440781250000000000e+02,7.664177703857421875e+01,8.088490128517150879e+01
3.650000000000000000e+03,9.598910522460937500e+01,7.698906707763671875e+01,8.193679451942443848e+01
3.700000000000000000e+03,8.905799865722656250e+01,7.847426605224609375e+01,8.298218202590942383e+01
3.750000000000000000e+03,6.941117858886718750e+01,7.821743011474609375e+01,8.403057193756103516e+01
3.800000000000000000e+03,5.363984298706054688e+01,7.765200042724609375e+01,8.508696842193603516e+01
3.850000000000000000e+03,7.395681762695312500e+01,7.822976684570312500e+01,8.612735152244567871e+01
3.900000000000000000e+03,6.027698898315429688e+01,7.812636566162109375e+01,8.718074631690979004e+01
3.950000000000000000e+03,8.083744812011718750e+01,7.778795623779296875e+01,8.823313951492309570e+01
4.000000000000000000e+03,6.401486968994140625e+01,7.786000061035156250e+01,8.927652502059936523e+01
4.050000000000000000e+03,5.744100952148437500e+01,7.779861450195312500e+01,9.032491517066955566e+01
4.100000000000000000e+03,5.367614364624023438e+01,7.809186553955078125e+01,9.137330460548400879e+01
4.150000000000000000e+03,4.732149887084960938e+01,7.748767089843750000e+01,9.241919326782226562e+01
4.200000000000000000e+03,4.258503723144531250e+01,7.769331359863281250e+01,9.347008538246154785e+01
4.250000000000000000e+03,3.800497817993164062e+01,7.765625000000000000e+01,9.453448939323425293e+01
4.300000000000000000e+03,4.725828933715820312e+01,7.806739807128906250e+01,9.558538126945495605e+01
4.350000000000000000e+03,4.116580581665039062e+01,7.783491516113281250e+01,9.662526369094848633e+01
4.400000000000000000e+03,3.714820861816406250e+01,7.829851531982421875e+01,9.766965007781982422e+01
4.450000000000000000e+03,2.938358306884765625e+01,7.733421325683593750e+01,9.870703101158142090e+01
4.500000000000000000e+03,2.017154502868652344e+01,7.774546051025390625e+01,9.975141763687133789e+01
4.550000000000000000e+03,1.919728279113769531e+01,7.744190979003906250e+01,1.008103165626525879e+02
4.600000000000000000e+03,2.102223587036132812e+01,7.763105010986328125e+01,1.018982405662536621e+02
4.650000000000000000e+03,2.140175819396972656e+01,7.702493286132812500e+01,1.029846622943878174e+02
4.700000000000000000e+03,2.039044952392578125e+01,7.741144561767578125e+01,1.040550720691680908e+02
4.750000000000000000e+03,2.706899452209472656e+01,7.771368408203125000e+01,1.051034617424011230e+02
4.800000000000000000e+03,1.864059257507324219e+01,7.750474548339843750e+01,1.061453466415405273e+02
4.850000000000000000e+03,2.189934730529785156e+01,7.752474975585937500e+01,1.072042455673217773e+02
4.900000000000000000e+03,1.386420631408691406e+01,7.723692321777343750e+01,1.082866637706756592e+02
4.950000000000000000e+03,2.149182701110839844e+01,7.748416137695312500e+01,1.093515679836273193e+02
5.000000000000000000e+03,1.711991500854492188e+01,7.698831176757812500e+01,1.104194746017456055e+02
5.050000000000000000e+03,1.839240455627441406e+01,7.713786315917968750e+01,1.115194082260131836e+02
5.100000000000000000e+03,1.648169136047363281e+01,7.745189666748046875e+01,1.125703005790710449e+02
5.150000000000000000e+03,2.008915519714355469e+01,7.749948120117187500e+01,1.136432111263275146e+02
5.200000000000000000e+03,1.299989128112792969e+01,7.743031311035156250e+01,1.146926021575927734e+02
5.250000000000000000e+03,1.331731224060058594e+01,7.733589935302734375e+01,1.157309834957122803e+02
5.300000000000000000e+03,1.259963130950927734e+01,7.752249145507812500e+01,1.168409259319305420e+02
5.350000000000000000e+03,1.338080215454101562e+01,7.752299499511718750e+01,1.179093329906463623e+02
5.400000000000000000e+03,1.264613723754882812e+01,7.754962921142578125e+01,1.188901655673980713e+02
5.450000000000000000e+03,1.199364948272705078e+01,7.712437438964843750e+01,1.198915157318115234e+02
5.500000000000000000e+03,6.455928802490234375e+00,7.754002380371093750e+01,1.208548333644866943e+02
5.550000000000000000e+03,1.756084594726562500e+02,7.704637908935546875e+01,1.218151488304138184e+02
5.600000000000000000e+03,1.188350067138671875e+02,7.649354553222656250e+01,1.227719612121582031e+02
5.650000000000000000e+03,6.483167266845703125e+01,7.798404693603515625e+01,1.237337775230407715e+02
5.700000000000000000e+03,4.805513763427734375e+01,7.798523712158203125e+01,1.246915907859802246e+02
5.750000000000000000e+03,4.548783111572265625e+01,7.755261230468750000e+01,1.256534073352813721e+02
5.800000000000000000e+03,4.321833038330078125e+01,7.734212493896484375e+01,1.266182267665863037e+02
5.850000000000000000e+03,2.898451614379882812e+01,7.769529724121093750e+01,1.276440973281860352e+02
5.900000000000000000e+03,3.204198837280273438e+01,7.795227050781250000e+01,1.286659648418426514e+02
5.950000000000000000e+03,3.102440261840820312e+01,7.744061279296875000e+01,1.297168569564819336e+02
6.000000000000000000e+03,2.073097229003906250e+01,7.752222442626953125e+01,1.307001917362213135e+02
6.050000000000000000e+03,3.233664703369140625e+01,7.757942199707031250e+01,1.316965377330780029e+02
6.100000000000000000e+03,2.382149505615234375e+01,7.742779541015625000e+01,1.327189059257507324e+02
6.150000000000000000e+03,1.941199874877929688e+01,7.783190155029296875e+01,1.337107474803924561e+02
6.200000000000000000e+03,1.919491004943847656e+01,7.692260742187500000e+01,1.347120978832244873e+02
6.250000000000000000e+03,1.990711021423339844e+01,7.725287628173828125e+01,1.356749150753021240e+02
6.300000000000000000e+03,1.706463813781738281e+01,7.761151123046875000e+01,1.366587502956390381e+02
6.350000000000000000e+03,1.306569957733154297e+01,7.768701934814453125e+01,1.376580989360809326e+02
6.400000000000000000e+03,2.065558052062988281e+01,7.790022277832031250e+01,1.386414334774017334e+02
6.450000000000000000e+03,1.369808101654052734e+01,7.753388977050781250e+01,1.396197640895843506e+02
6.500000000000000000e+03,1.838488388061523438e+01,7.730797576904296875e+01,1.406081032752990723e+02
6.550000000000000000e+03,1.328554725646972656e+01,7.686634063720703125e+01,1.415869340896606445e+02
6.600000000000000000e+03,1.070753192901611328e+01,7.725269317626953125e+01,1.425567576885223389e+02
6.650000000000000000e+03,2.649341735839843750e+02,7.772814941406250000e+01,1.435290830135345459e+02
6.700000000000000000e+03,1.359492340087890625e+02,7.829516601562500000e+01,1.444868962764739990e+02
6.750000000000000000e+03,7.738850402832031250e+01,7.792277526855468750e+01,1.454417064189910889e+02
6.800000000000000000e+03,7.093651580810546875e+01,7.848830413818359375e+01,1.464225394725799561e+02
6.850000000000000000e+03,5.259875488281250000e+01,7.857824707031250000e+01,1.473923625946044922e+02
6.900000000000000000e+03,6.859371185302734375e+01,7.738319396972656250e+01,1.483586828708648682e+02
6.950000000000000000e+03,5.350134277343750000e+01,7.720771789550781250e+01,1.493149952888488770e+02
7.000000000000000000e+03,5.712848663330078125e+01,7.792218017578125000e+01,1.502818157672882080e+02
7.050000000000000000e+03,1.109916763305664062e+02,7.721380615234375000e+01,1.512581448554992676e+02
7.100000000000000000e+03,9.739087677001953125e+01,7.853604125976562500e+01,1.522339730262756348e+02
7.150000000000000000e+03,8.062520599365234375e+01,7.744511413574218750e+01,1.532047970294952393e+02
7.200000000000000000e+03,5.912294387817382812e+01,7.754355621337890625e+01,1.541851294040679932e+02
7.250000000000000000e+03,5.912363433837890625e+01,7.769933319091796875e+01,1.551574547290802002e+02
7.300000000000000000e+03,3.542314147949218750e+01,7.800093841552734375e+01,1.561833257675170898e+02
7.350000000000000000e+03,4.526750946044921875e+01,7.720613098144531250e+01,1.571766688823699951e+02
7.400000000000000000e+03,2.877498817443847656e+01,7.749940490722656250e+01,1.581780190467834473e+02
7.450000000000000000e+03,2.606838417053222656e+01,7.792957305908203125e+01,1.591553487777709961e+02
7.500000000000000000e+03,2.762003898620605469e+01,7.731535339355468750e+01,1.601677083969116211e+02
7.550000000000000000e+03,1.027424194335937500e+03,7.765424346923828125e+01,1.611675570011138916e+02
7.600000000000000000e+03,1.676031250000000000e+03,7.748034667968750000e+01,1.621463880538940430e+02
7.650000000000000000e+03,1.679508300781250000e+03,8.053279876708984375e+01,1.631067032814025879e+02
7.700000000000000000e+03,1.550855834960937500e+03,8.103973388671875000e+01,1.640790288448333740e+02
7.750000000000000000e+03,1.687120971679687500e+03,8.295129394531250000e+01,1.650333395004272461e+02
7.800000000000000000e+03,1.009196166992187500e+03,7.822827148437500000e+01,1.659971570968627930e+02
7.850000000000000000e+03,9.078318481445312500e+02,7.966648101806640625e+01,1.669789910316467285e+02
7.900000000000000000e+03,5.518053588867187500e+02,7.784788513183593750e+01,1.679618251323699951e+02
7.950000000000000000e+03,4.340418701171875000e+02,7.773566436767578125e+01,1.689406559467315674e+02
8.000000000000000000e+03,3.638308715820312500e+02,7.974510192871093750e+01,1.699134819507598877e+02
8.050000000000000000e+03,4.061804809570312500e+02,7.767585754394531250e+01,1.708712952136993408e+02
8.100000000000000000e+03,2.832416992187500000e+02,7.796979522705078125e+01,1.718486249446868896e+02
8.150000000000000000e+03,2.373623657226562500e+02,7.810296630859375000e+01,1.728419685363769531e+02
8.200000000000000000e+03,1.596964263916015625e+02,7.865598297119140625e+01,1.738172967433929443e+02
8.250000000000000000e+03,1.390156860351562500e+02,7.745160675048828125e+01,1.748346598148345947e+02
8.300000000000000000e+03,1.405181732177734375e+02,7.757798004150390625e+01,1.758325071334838867e+02
8.350000000000000000e+03,8.355384826660156250e+01,7.671920013427734375e+01,1.768133397102355957e+02
8.400000000000000000e+03,9.262686157226562500e+01,7.736978912353515625e+01,1.777946729660034180e+02
8.450000000000000000e+03,1.372945556640625000e+02,7.807863616943359375e+01,1.787720024585723877e+02
8.500000000000000000e+03,6.527428436279296875e+01,7.743746948242187500e+01,1.797863640785217285e+02
8.550000000000000000e+03,6.082336044311523438e+01,7.756273651123046875e+01,1.807696983814239502e+02
8.600000000000000000e+03,5.101761627197265625e+01,7.791078186035156250e+01,1.817605395317077637e+02
8.650000000000000000e+03,5.900922775268554688e+01,7.810990905761718750e+01,1.827493791580200195e+02
8.700000000000000000e+03,5.870132827758789062e+01,7.734907531738281250e+01,1.837116961479187012e+02
8.750000000000000000e+03,3.686590957641601562e+01,7.769123840332031250e+01,1.846750140190124512e+02
8.800000000000000000e+03,4.346262359619140625e+01,7.795793151855468750e+01,1.856528439521789551e+02
8.850000000000000000e+03,3.509522628784179688e+01,7.768833160400390625e+01,1.866146605014801025e+02
8.900000000000000000e+03,4.210543441772460938e+01,7.745446014404296875e+01,1.875764770507812500e+02
8.950000000000000000e+03,4.673802566528320312e+01,7.774164581298828125e+01,1.885463001728057861e+02
9.000000000000000000e+03,5.530604553222656250e+01,7.804562377929687500e+01,1.895421454906463623e+02
9.050000000000000000e+03,4.450661468505859375e+01,7.788359832763671875e+01,1.905515027046203613e+02
9.100000000000000000e+03,3.185177421569824219e+01,7.768072509765625000e+01,1.915623607635498047e+02
9.150000000000000000e+03,2.879205017089843750e+02,7.584587097167968750e+01,1.925281808376312256e+02
9.200000000000000000e+03,2.185233154296875000e+02,7.847690582275390625e+01,1.934894969463348389e+02
9.250000000000000000e+03,2.073200531005859375e+02,7.702770233154296875e+01,1.944518134593963623e+02
9.300000000000000000e+03,2.266801910400390625e+02,7.733367919921875000e+01,1.954176335334777832e+02
9.350000000000000000e+03,2.037500457763671875e+02,7.828957366943359375e+01,1.963774485588073730e+02
9.400000000000000000e+03,2.304387512207031250e+02,7.773635101318359375e+01,1.973372633457183838e+02
9.450000000000000000e+03,1.842228088378906250e+02,7.797032165527343750e+01,1.983005812168121338e+02
9.500000000000000000e+03,2.161669006347656250e+02,7.859104919433593750e+01,1.992598955631256104e+02
9.550000000000000000e+03,1.568211364746093750e+02,7.757308197021484375e+01,2.002177093029022217e+02
9.600000000000000000e+03,1.457388305664062500e+01,7.750762176513671875e+01,2.011810266971588135e+02
9.650000000000000000e+03,1.279774379730224609e+01,7.715624237060546875e+01,2.021393401622772217e+02
9.700000000000000000e+03,7.811044692993164062e+00,7.721652221679687500e+01,2.031006562709808350e+02
9.750000000000000000e+03,1.890943908691406250e+01,7.788504028320312500e+01,2.040594704151153564e+02
9.800000000000000000e+03,9.337292671203613281e+00,7.735946655273437500e+01,2.050147814750671387e+02
9.850000000000000000e+03,8.372482299804687500e+00,7.737243652343750000e+01,2.059790999889373779e+02
9.900000000000000000e+03,1.323138904571533203e+01,7.702705383300781250e+01,2.069464211463928223e+02
9.950000000000000000e+03,1.052186012268066406e+01,7.728002929687500000e+01,2.079307565689086914e+02
1.000000000000000000e+04,9.386681365966796875e+01,7.752792358398437500e+01,2.089135911464691162e+02
